Ammo Description,CARTRIDGE,BULLET,BULLET,BULLET,ITEM #,B.C.,Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),GEE,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory
Product Line,CARTRIDGE,BULLET,Weight (gr.),Weight (g),ITEM #,B.C.,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,GEE,0m,50m,100m,150m,200m,250m,300m
M,308 Win,168 gr. BTHP,168.0,10.9,8097,0.45,823.0,790.0,757.0,726.0,695.0,664.0,634.0,3687.0,3396.0,3123.0,2866.0,2626.0,2401.0,2191.0,-5.0,-0.5,0.0,-3.7,-12.1,-25.6,-44.7,172.0,-5.0,1.5,4.0,2.3,-4.1,-15.6,-32.7
M,308 Win,168 gr. ELD Match,168.0,10.9,80966,0.523,823.0,794.0,766.0,739.0,712.0,685.0,659.0,3687.0,3436.0,3197.0,2972.0,2758.0,2556.0,2366.0,-5.0,-0.6,0.0,-3.6,-11.7,-24.7,-42.9,174.0,-5.0,1.4,4.0,2.4,-3.7,-14.7,-30.9
SM,308 Win,168 gr. ELD Match,168.0,10.9,80963,0.523,866.0,836.0,807.0,779.0,751.0,724.0,697.0,4079.0,3807.0,3549.0,3304.0,3072.0,2853.0,2645.0,-5.0,-0.7,0.0,-3.0,-10.1,-21.5,-37.6,184.0,-5.0,1.3,4.0,3.0,-2.1,-11.5,-25.6
B,308 Win,168 gr. A-MAX,168.0,10.9,80971,0.475,823.0,792.0,761.0,731.0,701.0,672.0,644.0,3687.0,3411.0,3151.0,2906.0,2675.0,2459.0,2256.0,-5.0,-0.5,0.0,-3.7,-12.0,-25.3,-44.0,173.0,-5.0,1.5,4.0,2.3,-4.0,-15.3,-32.0
M,308 Win,178 gr. BTHP,178.0,11.5,8105,0.53,792.0,765.0,738.0,711.0,685.0,659.0,634.0,3622.0,3375.0,3140.0,2917.0,2707.0,2508.0,2321.0,-5.0,-0.4,0.0,-4.1,-13.1,-27.2,-47.1,168.0,-5.0,1.6,4.0,1.9,-5.1,-17.2,-35.1
PH,308 Win,178 gr. ELD-X,178.0,11.5,80994,0.552,792.0,766.0,740.0,714.0,689.0,665.0,640.0,3622.0,3384.0,3158.0,2943.0,2740.0,2547.0,2364.0,-5.0,-0.4,0.0,-4.1,-12.9,-27.0,-46.6,168.0,-5.0,1.6,4.0,1.9,-4.9,-17.0,-34.6
CI,308 Win,180 gr. InterLock SP,180.0,11.7,80993,0.425,792.0,758.0,725.0,692.0,660.0,628.0,598.0,3663.0,3353.0,3062.0,2791.0,2539.0,2304.0,2085.0,-5.0,-0.4,0.0,-4.3,-13.7,-28.8,-50.1,165.0,-5.0,1.6,4.0,1.7,-5.7,-18.8,-38.1
CI,308 Win,220 gr. InterLock RN,220.0,14.3,8107,0.3,704.0,659.0,615.0,573.0,532.0,493.0,455.0,3534.0,3094.0,2696.0,2338.0,2017.0,1730.0,1474.0,-5.0,0.3,0.0,-6.8,-21.1,-44.1,-77.2,145.0,-5.0,2.3,4.0,-0.8,-13.1,-34.1,-65.2
C,30-40 Krag,180 gr. InterLock SP,180.0,11.7,81202,0.425,741.0,708.0,675.0,644.0,613.0,583.0,554.0,3200.0,2920.0,2660.0,2417.0,2191.0,1982.0,1788.0,-5.0,-0.0,0.0,-5.3,-16.6,-34.4,-59.4,155.0,-5.0,2.0,4.0,0.7,-8.6,-24.4,-47.4
SF,30 TC,150 gr. SST,150.0,9.7,81004,0.415,914.0,876.0,839.0,803.0,767.0,732.0,698.0,4064.0,3733.0,3422.0,3132.0,2860.0,2606.0,2370.0,-5.0,-0.9,0.0,-2.6,-9.0,-19.5,-34.7,192.0,-5.0,1.1,4.0,3.4,-1.0,-9.5,-22.7
CL,30-06 Springfield,125 gr. SST,125.0,8.1,81066,0.305,823.0,774.0,727.0,681.0,637.0,595.0,553.0,2743.0,2429.0,2142.0,1881.0,1645.0,1432.0,1240.0,-5.0,-0.5,0.0,-4.2,-13.7,-29.2,-51.7,166.0,-5.0,1.5,4.0,1.8,-5.7,-19.2,-39.7
SF,30-06 Springfield,150 gr. SST,150.0,9.7,81093,0.415,939.0,900.0,862.0,825.0,789.0,754.0,719.0,4284.0,3939.0,3615.0,3311.0,3027.0,2762.0,2515.0,-5.0,-1.0,0.0,-2.3,-8.2,-18.1,-32.3,198.0,-5.0,1.0,4.0,3.7,-0.2,-8.1,-20.3
AW,30-06 Springfield,150 gr. InterLock SP,150.0,9.7,8108,0.338,887.0,841.0,797.0,753.0,711.0,670.0,630.0,3824.0,3439.0,3084.0,2757.0,2457.0,2182.0,1931.0,-5.0,-0.8,0.0,-3.1,-10.5,-22.8,-40.6,182.0,-5.0,1.2,4.0,2.9,-2.5,-12.8,-28.6
SF,30-06 Springfield,165 gr. SST,165.0,10.7,81153,0.447,902.0,867.0,833.0,799.0,766.0,734.0,702.0,4352.0,4020.0,3707.0,3413.0,3137.0,2878.0,2636.0,-5.0,-0.9,0.0,-2.7,-9.2,-19.9,-35.1,190.0,-5.0,1.1,4.0,3.3,-1.2,-9.9,-23.1
SF,30-06 Springfield,165 gr. CX,165.0,10.7,81169,0.44,896.0,861.0,826.0,792.0,758.0,726.0,694.0,4293.0,3960.0,3646.0,3352.0,3075.0,2816.0,2574.0,-5.0,-0.8,0.0,-2.8,-9.4,-20.4,-35.9,189.0,-5.0,1.2,4.0,3.2,-1.4,-10.4,-23.9
VM,30-06 Springfield,168 gr. ELD Match,168.0,10.9,81171,0.523,826.0,797.0,769.0,742.0,715.0,688.0,662.0,3714.0,3461.0,3222.0,2995.0,2780.0,2577.0,2385.0,-5.0,-0.6,0.0,-3.6,-11.6,-24.4,-42.5,175.0,-5.0,1.4,4.0,2.4,-3.6,-14.4,-30.5
PH,30-06 Springfield,178 gr. ELD-X,178.0,11.5,81174,0.552,838.0,811.0,784.0,758.0,732.0,706.0,681.0,4052.0,3792.0,3545.0,3310.0,3087.0,2875.0,2675.0,-5.0,-0.6,0.0,-3.4,-11.0,-23.2,-40.3,178.0,-5.0,1.4,4.0,2.6,-3.0,-13.2,-28.3
O,30-06 Springfield,180 gr. CX,180.0,11.7,811864,0.469,792.0,761.0,731.0,701.0,672.0,643.0,615.0,3663.0,3381.0,3115.0,2866.0,2631.0,2412.0,2206.0,-5.0,-0.4,0.0,-4.2,-13.4,-28.1,-48.6,166.0,-5.0,1.6,4.0,1.8,-5.4,-18.1,-36.6
AW,30-06 Springfield,180 gr. InterLock SP,180.0,11.7,81084,0.425,823.0,788.0,754.0,720.0,687.0,655.0,624.0,3950.0,3621.0,3313.0,3024.0,2755.0,2505.0,2272.0,-5.0,-0.5,0.0,-3.8,-12.3,-26.0,-45.5,172.0,-5.0,1.5,4.0,2.2,-4.3,-16.0,-33.5
CI,30-06 Springfield,180 gr. InterLock SP,180.0,11.7,81182,0.425,797.0,763.0,729.0,696.0,664.0,632.0,602.0,3705.0,3392.0,3099.0,2826.0,2571.0,2333.0,2113.0,-5.0,-0.4,0.0,-4.2,-13.5,-28.4,-49.4,166.0,-5.0,1.6,4.0,1.8,-5.5,-18.4,-37.4
SF,30-06 Springfield,180 gr. SST,180.0,11.7,81183,0.48,860.0,828.0,796.0,766.0,736.0,706.0,678.0,4309.0,3996.0,3700.0,3421.0,3158.0,2910.0,2678.0,-5.0,-0.7,0.0,-3.2,-10.5,-22.4,-39.2,181.0,-5.0,1.3,4.0,2.8,-2.5,-12.4,-27.2
CI,30-06 Springfield,220 gr. InterLock RN,220.0,14.3,8114,0.3,721.0,675.0,631.0,588.0,546.0,506.0,468.0,3704.0,3247.0,2834.0,2462.0,2127.0,1828.0,1561.0,-5.0,0.2,0.0,-6.4,-19.9,-41.6,-72.9,148.0,-5.0,2.2,4.0,-0.4,-11.9,-31.6,-60.9
C,300 H&H Mag,180 gr. InterBond,180.0,11.7,8210,0.48,875.0,843.0,811.0,780.0,750.0,720.0,691.0,4463.0,4141.0,3837.0,3550.0,3279.0,3024.0,2784.0,-5.0,-0.8,0.0,-3.0,-9.9,-21.3,-37.4,185.0,-5.0,1.2,4.0,3.0,-1.9,-11.3,-25.4
PH,300 RSAUM,178 gr. ELD-X,178.0,11.5,82144,0.552,899.0,871.0,843.0,815.0,788.0,762.0,736.0,4663.0,4373.0,4097.0,3834.0,3584.0,3346.0,3120.0,-5.0,-0.9,0.0,-2.6,-8.8,-19.0,-33.5,193.0,-5.0,1.1,4.0,3.4,-0.8,-9.0,-21.5
SF,300 RCM,150 gr. SST,150.0,9.7,82231,0.415,1009.0,969.0,929.0,891.0,853.0,816.0,780.0,4947.0,4561.0,4198.0,3857.0,3537.0,3238.0,2957.0,-5.0,-1.2,0.0,-1.6,-6.4,-14.5,-26.3,216.0,-5.0,0.8,4.0,4.4,1.6,-4.5,-14.3
PH,300 RCM,178 gr. ELD-X,178.0,11.5,82224,0.552,884.0,856.0,828.0,801.0,774.0,748.0,722.0,4506.0,4224.0,3955.0,3699.0,3456.0,3225.0,3006.0,-5.0,-0.8,0.0,-2.8,-9.3,-20.0,-35.1,189.0,-5.0,1.2,4.0,3.2,-1.3,-10.0,-23.1
AW,300 WSM,165 gr. InterLock,165.0,10.7,82204,0.435,954.0,917.0,880.0,845.0,810.0,776.0,742.0,4866.0,4494.0,4144.0,3815.0,3506.0,3215.0,2944.0,-5.0,-1.0,0.0,-2.1,-7.7,-17.0,-30.4,203.0,-5.0,1.0,4.0,3.9,0.3,-7.0,-18.4
O,300 WSM,180 gr. CX,180.0,11.7,822034,0.469,884.0,851.0,818.0,787.0,755.0,725.0,695.0,4557.0,4222.0,3906.0,3609.0,3328.0,3064.0,2816.0,-5.0,-0.8,0.0,-2.9,-9.7,-20.8,-36.6,187.0,-5.0,1.2,4.0,3.1,-1.7,-10.8,-24.6
PH,300 WSM,200 gr. ELD-X,200.0,13.0,82208,0.597,860.0,834.0,809.0,784.0,759.0,735.0,712.0,4788.0,4507.0,4238.0,3981.0,3736.0,3503.0,3281.0,-5.0,-0.7,0.0,-3.0,-10.0,-21.3,-37.1,184.0,-5.0,1.3,4.0,3.0,-2.0,-11.3,-25.1
AW,300 Win Mag,150 gr. InterLock SP,150.0,9.7,8204,0.349,998.0,951.0,905.0,859.0,816.0,773.0,731.0,4843.0,4394.0,3977.0,3590.0,3232.0,2902.0,2598.0,-5.0,-1.1,0.0,-1.9,-7.0,-15.9,-28.9,209.0,-5.0,0.9,4.0,4.1,1.0,-5.9,-16.9
SF,300 Win Mag,165 gr. CX,165.0,10.7,820264,0.44,994.0,956.0,919.0,883.0,848.0,813.0,779.0,5279.0,4887.0,4517.0,4169.0,3841.0,3533.0,3244.0,-5.0,-1.2,0.0,-1.7,-6.6,-14.9,-27.0,214.0,-5.0,0.8,4.0,4.3,1.4,-4.9,-15.0
M,300 Win Mag,178 gr. ELD Match,178.0,11.5,82043,0.547,902.0,873.0,845.0,817.0,790.0,763.0,737.0,4695.0,4401.0,4121.0,3854.0,3601.0,3360.0,3131.0,-5.0,-0.9,0.0,-2.5,-8.8,-18.9,-33.2,194.0,-5.0,1.1,4.0,3.5,-0.8,-8.9,-21.2
PH,300 Win Mag,178 gr. ELD-X,178.0,11.5,82041,0.552,902.0,874.0,846.0,818.0,791.0,764.0,738.0,4695.0,4403.0,4125.0,3861.0,3609.0,3370.0,3143.0,-5.0,-0.9,0.0,-2.5,-8.7,-18.9,-33.2,194.0,-5.0,1.1,4.0,3.5,-0.7,-8.9,-21.2
O,300 Win Mag,180 gr. CX,180.0,11.7,821974,0.469,902.0,869.0,836.0,804.0,772.0,741.0,711.0,4748.0,4402.0,4076.0,3768.0,3478.0,3205.0,2948.0,-5.0,-0.9,0.0,-2.6,-9.1,-19.6,-34.6,191.0,-5.0,1.1,4.0,3.4,-1.1,-9.6,-22.6
AW,300 Win Mag,180 gr. InterLock SP,180.0,11.7,82044,0.425,902.0,865.0,829.0,794.0,759.0,725.0,692.0,4748.0,4367.0,4010.0,3676.0,3363.0,3070.0,2797.0,-5.0,-0.9,0.0,-2.7,-9.3,-20.2,-35.7,190.0,-5.0,1.1,4.0,3.3,-1.3,-10.2,-23.7
CI,300 Win Mag,180 gr. InterLock SP,180.0,11.7,8206,0.425,902.0,865.0,829.0,794.0,759.0,725.0,692.0,4748.0,4367.0,4010.0,3676.0,3363.0,3070.0,2797.0,-5.0,-0.9,0.0,-2.7,-9.3,-20.2,-35.7,190.0,-5.0,1.1,4.0,3.3,-1.3,-10.2,-23.7
SF,300 Win Mag,180 gr. SST,180.0,11.7,82193,0.48,954.0,920.0,887.0,855.0,823.0,791.0,761.0,5309.0,4940.0,4591.0,4260.0,3948.0,3654.0,3376.0,-5.0,-1.1,0.0,-2.1,-7.5,-16.5,-29.5,205.0,-5.0,0.9,4.0,3.9,0.5,-6.5,-17.5
M,300 Win Mag,195 gr. ELD Match,195.0,12.6,82180,0.584,893.0,866.0,840.0,814.0,788.0,763.0,739.0,5040.0,4742.0,4458.0,4187.0,3928.0,3681.0,3447.0,-5.0,-0.9,0.0,-2.6,-8.9,-19.2,-33.6,192.0,-5.0,1.1,4.0,3.4,-0.9,-9.2,-21.6
PH,300 Win Mag,200 gr. ELD-X,200.0,13.0,82002,0.597,872.0,846.0,820.0,795.0,771.0,746.0,723.0,4925.0,4637.0,4362.0,4100.0,3849.0,3611.0,3383.0,-5.0,-0.8,0.0,-2.9,-9.6,-20.5,-35.7,187.0,-5.0,1.2,4.0,3.1,-1.6,-10.5,-23.7
O,300 Wby Mag,180 gr. CX,180.0,11.7,822124,0.469,945.0,911.0,877.0,844.0,811.0,780.0,748.0,5207.0,4836.0,4485.0,4153.0,3840.0,3545.0,3267.0,-5.0,-1.0,0.0,-2.2,-7.8,-17.1,-30.5,202.0,-5.0,1.0,4.0,3.8,0.2,-7.1,-18.5
PH,300 Wby Mag,200 gr. ELD-X,200.0,13.0,82213,0.597,902.0,876.0,850.0,824.0,799.0,774.0,750.0,5275.0,4972.0,4681.0,4404.0,4139.0,3887.0,3646.0,-5.0,-0.9,0.0,-2.5,-8.6,-18.5,-32.6,195.0,-5.0,1.1,4.0,3.5,-0.6,-8.5,-20.6
O,300 PRC,190 gr. CX,190.0,12.3,82164,0.575,914.0,887.0,860.0,833.0,807.0,781.0,755.0,5148.0,4842.0,4551.0,4272.0,4007.0,3754.0,3514.0,-5.0,-0.9,0.0,-2.4,-8.3,-18.0,-31.7,197.0,-5.0,1.1,4.0,3.6,-0.3,-8.0,-19.7
PH,300 PRC,212 gr. ELD-X,212.0,13.7,82166,0.663,872.0,848.0,825.0,803.0,780.0,758.0,737.0,5220.0,4945.0,4681.0,4427.0,4184.0,3952.0,3729.0,-5.0,-0.8,0.0,-2.8,-9.4,-20.0,-34.9,188.0,-5.0,1.2,4.0,3.2,-1.4,-10.0,-22.9
M,300 PRC,225 gr. ELD Match,225.0,14.6,82162,0.777,856.0,837.0,817.0,798.0,779.0,760.0,742.0,5348.0,5105.0,4870.0,4644.0,4425.0,4214.0,4011.0,-5.0,-0.7,0.0,-2.9,-9.7,-20.5,-35.6,186.0,-5.0,1.3,4.0,3.1,-1.7,-10.5,-23.6
O,300 Rem Ultra Mag,180 gr. CX,180.0,11.7,82084,0.469,975.0,940.0,906.0,872.0,839.0,807.0,775.0,5549.0,5158.0,4789.0,4440.0,4110.0,3799.0,3506.0,-5.0,-1.1,0.0,-1.9,-7.0,-15.5,-27.9,210.0,-5.0,0.9,4.0,4.1,1.0,-5.5,-15.9
PH,300 Rem Ultra Mag,220 gr. ELD-X,220.0,14.3,8209,0.654,887.0,863.0,840.0,816.0,794.0,771.0,749.0,5608.0,5311.0,5026.0,4752.0,4490.0,4238.0,3998.0,-5.0,-0.9,0.0,-2.6,-8.9,-19.1,-33.4,192.0,-5.0,1.1,4.0,3.4,-0.9,-9.1,-21.4
PH,30-378 Wby Mag,220 gr. ELD-X,220.0,14.3,82214,0.65,922.0,898.0,873.0,850.0,826.0,803.0,780.0,6060.0,5743.0,5437.0,5145.0,4864.0,4595.0,4337.0,-5.0,-1.0,0.0,-2.2,-7.9,-17.1,-30.1,201.0,-5.0,1.0,4.0,3.8,0.1,-7.1,-18.1
B,7.62 x 39mm,"123 gr. SST (20"" Bbl)",123.0,8.0,80784,0.26,716.0,664.0,613.0,564.0,518.0,473.0,430.0,2045.0,1755.0,1498.0,1269.0,1068.0,892.0,739.0,-5.0,0.3,0.0,-6.8,-21.4,-45.1,-79.8,145.0,-5.0,2.3,4.0,-0.8,-13.4,-35.1,-67.8
AG,7.62 x 39mm,"123 gr. HP Match (20"" Bbl)",123.0,8.0,80786,0.272,716.0,666.0,617.0,571.0,526.0,483.0,442.0,2045.0,1767.0,1519.0,1298.0,1102.0,929.0,777.0,-5.0,0.3,0.0,-6.7,-21.0,-44.1,-77.8,145.0,-5.0,2.3,4.0,-0.7,-13.0,-34.1,-65.8
C,303 British,150 gr. InterLock SP,150.0,9.7,8225,0.361,818.0,777.0,737.0,698.0,660.0,624.0,588.0,3255.0,2937.0,2642.0,2371.0,2120.0,1890.0,1680.0,-5.0,-0.5,0.0,-4.0,-13.1,-27.8,-48.8,168.0,-5.0,1.5,4.0,2.0,-5.1,-17.8,-36.8
LEV,32 Win Special,165 gr. FTX,165.0,10.7,82732,0.31,735.0,690.0,646.0,604.0,563.0,524.0,486.0,2885.0,2543.0,2232.0,1951.0,1697.0,1469.0,1264.0,-5.0,0.1,0.0,-6.0,-18.7,-39.1,-68.5,150.0,-5.0,2.1,4.0,0.0,-10.7,-29.1,-56.5
CI,8 x 57 JS (IS),195 gr. InterLock SP,195.0,12.6,82291,0.41,783.0,748.0,713.0,679.0,647.0,615.0,583.0,3874.0,3532.0,3214.0,2917.0,2642.0,2386.0,2150.0,-5.0,-0.3,0.0,-4.5,-14.4,-30.1,-52.3,163.0,-5.0,1.7,4.0,1.5,-6.4,-20.1,-40.3
VM,8 x 57 JS (IS),196 gr. BTHP,196.0,12.7,82298,0.525,762.0,735.0,708.0,682.0,656.0,631.0,606.0,3688.0,3429.0,3184.0,2952.0,2733.0,2527.0,2332.0,-5.0,-0.2,0.0,-4.7,-14.6,-30.3,-52.1,161.0,-5.0,1.8,4.0,1.3,-6.6,-20.3,-40.1
LEV,338 Marlin Express,200 gr. FTX,200.0,13.0,82240,0.43,782.0,748.0,715.0,683.0,652.0,621.0,591.0,3961.0,3627.0,3315.0,3023.0,2751.0,2498.0,2263.0,-5.0,-0.3,0.0,-4.5,-14.2,-29.8,-51.7,163.0,-5.0,1.7,4.0,1.5,-6.2,-19.8,-39.7
SF,338 RCM,225 gr. SST,225.0,14.6,82236,0.515,838.0,809.0,780.0,752.0,724.0,697.0,670.0,5122.0,4771.0,4438.0,4122.0,3824.0,3542.0,3276.0,-5.0,-0.6,0.0,-3.4,-11.1,-23.6,-41.0,177.0,-5.0,1.4,4.0,2.6,-3.1,-13.6,-29.0
SF,338 Win Mag,200 gr. SST,200.0,13.0,82223,0.455,924.0,889.0,854.0,821.0,788.0,756.0,724.0,5528.0,5117.0,4730.0,4366.0,4023.0,3700.0,3398.0,-5.0,-0.9,0.0,-2.4,-8.5,-18.5,-32.8,196.0,-5.0,1.1,4.0,3.6,-0.5,-8.5,-20.8
SF,338 Win Mag,225 gr. SST,225.0,14.6,82233,0.515,866.0,836.0,807.0,778.0,750.0,722.0,695.0,5463.0,5093.0,4743.0,4411.0,4096.0,3799.0,3518.0,-5.0,-0.7,0.0,-3.0,-10.1,-21.6,-37.7,184.0,-5.0,1.3,4.0,3.0,-2.1,-11.6,-25.7
O,338 Win Mag,225 gr. CX,225.0,14.6,823394,0.49,853.0,822.0,792.0,762.0,733.0,704.0,676.0,5310.0,4931.0,4572.0,4233.0,3913.0,3612.0,3329.0,-5.0,-0.7,0.0,-3.2,-10.7,-22.7,-39.7,180.0,-5.0,1.3,4.0,2.8,-2.7,-12.7,-27.7
PH,338 Win Mag,230 gr. ELD-X,230.0,14.9,82222,0.616,856.0,832.0,807.0,783.0,759.0,736.0,713.0,5467.0,5155.0,4856.0,4571.0,4298.0,4038.0,3790.0,-5.0,-0.7,0.0,-3.0,-10.1,-21.4,-37.2,184.0,-5.0,1.3,4.0,3.0,-2.1,-11.4,-25.2
M,338 Lapua Mag,250 gr. BTHP,250.0,16.2,8230,0.67,872.0,849.0,826.0,804.0,781.0,760.0,738.0,6156.0,5835.0,5526.0,5230.0,4946.0,4674.0,4413.0,-5.0,-0.8,0.0,-2.8,-9.4,-20.0,-34.9,189.0,-5.0,1.2,4.0,3.2,-1.4,-10.0,-22.9
PH,338 Lapua Mag,270 gr. ELD-X,270.0,17.5,82313,0.757,853.0,833.0,813.0,794.0,774.0,755.0,736.0,6372.0,6075.0,5787.0,5511.0,5244.0,4987.0,4739.0,-5.0,-0.7,0.0,-3.0,-9.8,-20.8,-36.1,185.0,-5.0,1.3,4.0,3.0,-1.8,-10.8,-24.1
M,338 Lapua Mag,285 gr. ELD Match,285.0,18.5,82300,0.829,837.0,818.0,800.0,783.0,765.0,748.0,730.0,6465.0,6186.0,5917.0,5656.0,5404.0,5160.0,4925.0,-5.0,-0.7,0.0,-3.2,-10.3,-21.7,-37.4,182.0,-5.0,1.3,4.0,2.8,-2.3,-11.7,-25.4
LEV,348 Win,200 gr. FTX,200.0,13.0,82738,0.32,780.0,735.0,692.0,649.0,608.0,569.0,530.0,3946.0,3503.0,3099.0,2731.0,2397.0,2095.0,1822.0,-5.0,-0.2,0.0,-4.9,-15.6,-33.0,-58.0,159.0,-5.0,1.8,4.0,1.1,-7.6,-23.0,-46.0
C,350 Legend,165 gr. FTX,165.0,10.7,81197,0.25,671.0,618.0,567.0,519.0,473.0,428.0,387.0,2404.0,2041.0,1720.0,1439.0,1194.0,981.0,799.0,-5.0,0.7,0.0,-8.4,-25.9,-54.4,-96.2,138.0,-5.0,2.7,4.0,-2.4,-17.9,-44.4,-84.2
AW,350 Legend,170 gr. InterLock SP,170.0,11.0,81196,0.215,671.0,609.0,551.0,496.0,444.0,394.0,348.0,2477.0,2046.0,1674.0,1355.0,1084.0,856.0,666.0,-5.0,0.8,0.0,-8.9,-27.8,-59.2,-106.4,136.0,-5.0,2.8,4.0,-2.9,-19.8,-49.2,-94.4
SUB,350 Legend,250 gr. SUB-X,250.0,16.2,81198,0.265,320.0,287.0,256.0,227.0,,,,830.0,668.0,531.0,416.0,,,,-5.0,12.4,0.0,-50.0,,,,107.0,-5.0,14.4,4.0,-44.0,,,
LEV,35 Rem,200 gr. FTX,200.0,13.0,82735,0.3,678.0,634.0,591.0,550.0,510.0,471.0,434.0,2981.0,2603.0,2263.0,1957.0,1683.0,1439.0,1223.0,-5.0,0.6,0.0,-7.6,-23.3,-48.5,-84.7,141.0,-5.0,2.6,4.0,-1.6,-15.3,-38.5,-72.7
SF,35 Whelen,200 gr. InterLock SP,200.0,13.0,81193,0.282,887.0,832.0,779.0,728.0,678.0,631.0,584.0,5098.0,4488.0,3934.0,3433.0,2982.0,2577.0,2214.0,-5.0,-0.7,0.0,-3.3,-11.3,-24.6,-44.0,178.0,-5.0,1.3,4.0,2.7,-3.3,-14.6,-32.0
C,358 Win,200 gr. InterLock SP,200.0,13.0,91318,0.282,754.0,704.0,656.0,609.0,564.0,521.0,480.0,3688.0,3215.0,2789.0,2407.0,2065.0,1761.0,1492.0,-5.0,-0.0,0.0,-5.7,-18.0,-38.0,-67.0,152.0,-5.0,2.0,4.0,0.3,-10.0,-28.0,-55.0
DG,9.3 x 74R,286 gr. InterLock SP-RP,286.0,18.5,82304,0.4,719.0,685.0,651.0,618.0,586.0,555.0,525.0,4795.0,4346.0,3929.0,3542.0,3185.0,2856.0,2553.0,-5.0,0.1,0.0,-5.9,-18.2,-37.7,-65.1,151.0,-5.0,2.1,4.0,0.1,-10.2,-27.7,-53.1
DG,9.3 x 62mm,286 gr. InterLock SP-RP,286.0,18.5,82303,0.4,719.0,685.0,651.0,618.0,586.0,555.0,525.0,4795.0,4346.0,3929.0,3542.0,3185.0,2856.0,2553.0,-5.0,0.1,0.0,-5.9,-18.2,-37.7,-65.1,151.0,-5.0,2.1,4.0,0.1,-10.2,-27.7,-53.1
CI,9.3 x 62mm,286 gr. InterLock SP,286.0,18.5,82302,0.4,722.0,687.0,654.0,621.0,589.0,558.0,527.0,4832.0,4380.0,3960.0,3571.0,3212.0,2881.0,2575.0,-5.0,0.1,0.0,-5.8,-18.0,-37.3,-64.5,151.0,-5.0,2.1,4.0,0.2,-10.0,-27.3,-52.5
DG,376 Steyr,225 gr. InterLock SP-RP,225.0,14.6,8234,0.32,792.0,747.0,703.0,660.0,619.0,579.0,540.0,4579.0,4069.0,3603.0,3178.0,2792.0,2442.0,2126.0,-5.0,-0.3,0.0,-4.7,-15.0,-31.7,-55.7,161.0,-5.0,1.7,4.0,1.3,-7.0,-21.7,-43.7
DG,376 Steyr,270 gr. InterLock SP-RP,270.0,17.5,8237,0.38,792.0,754.0,717.0,680.0,645.0,610.0,577.0,5495.0,4976.0,4495.0,4049.0,3638.0,3258.0,2910.0,-5.0,-0.3,0.0,-4.4,-14.2,-29.8,-52.0,164.0,-5.0,1.7,4.0,1.6,-6.2,-19.8,-40.0
O,375 H&H Mag,250 gr. CX,250.0,16.2,823314,0.403,823.0,786.0,750.0,715.0,680.0,647.0,614.0,5486.0,5005.0,4556.0,4138.0,3749.0,3388.0,3054.0,-5.0,-0.5,0.0,-3.8,-12.5,-26.5,-46.3,171.0,-5.0,1.5,4.0,2.2,-4.5,-16.5,-34.3
DG,375 H&H Mag,270 gr. InterLock SP-RP SPF,270.0,17.5,8508,0.38,853.0,813.0,774.0,736.0,699.0,663.0,628.0,6372.0,5790.0,5248.0,4745.0,4279.0,3849.0,3451.0,-5.0,-0.6,0.0,-3.4,-11.4,-24.4,-43.0,176.0,-5.0,1.4,4.0,2.6,-3.4,-14.4,-31.0
DG,375 H&H Mag,300 gr. DGS,300.0,19.4,82322,0.275,771.0,719.0,669.0,621.0,574.0,530.0,487.0,5781.0,5028.0,4352.0,3746.0,3206.0,2726.0,2303.0,-5.0,-0.1,0.0,-5.4,-17.1,-36.3,-64.2,155.0,-5.0,1.9,4.0,0.6,-9.1,-26.3,-52.2
DG,375 H&H Mag,300 gr. DGX Bonded,300.0,19.4,82334,0.275,771.0,719.0,669.0,621.0,574.0,530.0,487.0,5781.0,5028.0,4352.0,3746.0,3206.0,2726.0,2303.0,-5.0,-0.1,0.0,-5.4,-17.1,-36.3,-64.2,155.0,-5.0,1.9,4.0,0.6,-9.1,-26.3,-52.2
O,375 Ruger,250 gr. CX,250.0,16.2,823374,0.403,853.0,816.0,779.0,743.0,708.0,673.0,640.0,5900.0,5391.0,4915.0,4471.0,4058.0,3674.0,3318.0,-5.0,-0.7,0.0,-3.4,-11.2,-24.0,-42.1,177.0,-5.0,1.3,4.0,2.6,-3.2,-14.0,-30.1
DG,375 Ruger,270 gr. InterLock SP-RP,270.0,17.5,8231,0.38,866.0,825.0,786.0,748.0,710.0,674.0,638.0,6556.0,5960.0,5406.0,4891.0,4414.0,3973.0,3566.0,-5.0,-0.7,0.0,-3.3,-10.9,-23.5,-41.4,179.0,-5.0,1.3,4.0,2.7,-2.9,-13.5,-29.4
