Ammo Description,CARTRIDGE,BULLET,BULLET,BULLET,ITEM #,B.C.,Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),GEE,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory
Product Line,CARTRIDGE,BULLET,Weight (gr.),Weight (g),ITEM #,B.C.,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,GEE,0m,50m,100m,150m,200m,250m,300m
SF,243 Win,95 gr. SST,95.0,6.2,80463,0.355,971.0,925.0,880.0,836.0,794.0,752.0,712.0,2901.0,2633.0,2384.0,2154.0,1940.0,1743.0,1561.0,-5.0,-1.1,0.0,-2.1,-7.7,-17.2,-31.1,203.0,-5.0,0.9,4.0,3.9,0.3,-7.2,-19.1
AW,243 Win,100 gr. InterLock BTSP,100.0,6.5,8047,0.405,902.0,864.0,826.0,789.0,753.0,717.0,683.0,2638.0,2416.0,2209.0,2016.0,1835.0,1667.0,1511.0,-5.0,-0.9,0.0,-2.7,-9.4,-20.5,-36.2,189.0,-5.0,1.1,4.0,3.3,-1.4,-10.5,-24.2
SF,6mm Rem,95 gr. SST,95.0,6.2,81663,0.355,986.0,940.0,895.0,850.0,808.0,766.0,725.0,2993.0,2718.0,2463.0,2227.0,2007.0,1805.0,1618.0,-5.0,-1.1,0.0,-2.0,-7.3,-16.4,-29.7,206.0,-5.0,0.9,4.0,4.0,0.7,-6.4,-17.7
V,6mm Creedmoor,87 gr. V-MAX,87.0,5.6,81393,0.4,978.0,937.0,897.0,858.0,820.0,782.0,746.0,2699.0,2477.0,2270.0,2076.0,1895.0,1725.0,1568.0,-5.0,-1.1,0.0,-1.9,-7.2,-16.1,-29.1,207.0,-5.0,0.9,4.0,4.1,0.8,-6.1,-17.1
SF,6mm Creedmoor,90 gr. CX,90.0,5.8,813944,0.418,1013.0,973.0,934.0,896.0,858.0,822.0,786.0,2995.0,2764.0,2546.0,2341.0,2148.0,1968.0,1800.0,-5.0,-1.2,0.0,-1.6,-6.3,-14.3,-25.9,218.0,-5.0,0.8,4.0,4.4,1.7,-4.3,-13.9
PH,6mm Creedmoor,103 gr. ELD-X,103.0,6.7,81392,0.512,930.0,898.0,868.0,838.0,808.0,779.0,750.0,2884.0,2694.0,2513.0,2342.0,2179.0,2026.0,1880.0,-5.0,-1.0,0.0,-2.3,-8.0,-17.6,-31.1,200.0,-5.0,1.0,4.0,3.7,-0.0,-7.6,-19.1
B,6mm Creedmoor,105 gr. BTHP,105.0,6.8,81396,0.512,902.0,872.0,841.0,812.0,783.0,754.0,726.0,2769.0,2584.0,2409.0,2242.0,2084.0,1935.0,1794.0,-5.0,-0.9,0.0,-2.6,-8.9,-19.2,-33.8,193.0,-5.0,1.1,4.0,3.4,-0.9,-9.2,-21.8
M,6mm Creedmoor,108 gr. ELD Match,108.0,7.0,81391,0.536,902.0,873.0,844.0,816.0,788.0,760.0,734.0,2849.0,2666.0,2493.0,2329.0,2172.0,2024.0,1883.0,-5.0,-0.9,0.0,-2.6,-8.8,-19.0,-33.4,193.0,-5.0,1.1,4.0,3.4,-0.8,-9.0,-21.4
LEV,25-35 Win,110 gr. FTX,110.0,7.1,8277,0.34,739.0,698.0,658.0,619.0,582.0,545.0,510.0,1947.0,1736.0,1543.0,1367.0,1206.0,1059.0,927.0,-5.0,0.0,0.0,-5.7,-17.8,-37.1,-64.7,152.0,-5.0,2.0,4.0,0.3,-9.8,-27.1,-52.7
C,250 Savage,100 gr. InterLock SP,100.0,6.5,8132,0.35,853.0,810.0,768.0,727.0,687.0,648.0,610.0,2360.0,2127.0,1911.0,1712.0,1529.0,1361.0,1207.0,-5.0,-0.6,0.0,-3.5,-11.7,-25.1,-44.3,175.0,-5.0,1.4,4.0,2.5,-3.7,-15.1,-32.3
SF,257 Roberts +P,117 gr. SST,117.0,7.6,81353,0.39,898.0,858.0,819.0,781.0,743.0,707.0,671.0,3057.0,2790.0,2541.0,2310.0,2094.0,1894.0,1709.0,-5.0,-0.8,0.0,-2.8,-9.7,-21.0,-37.2,187.0,-5.0,1.2,4.0,3.2,-1.7,-11.0,-25.2
SF,25-06 Rem,90 gr. CX,90.0,5.8,814464,0.273,1021.0,960.0,901.0,843.0,788.0,734.0,682.0,3041.0,2687.0,2366.0,2074.0,1810.0,1572.0,1358.0,-5.0,-1.2,0.0,-1.9,-7.2,-16.4,-30.3,208.0,-5.0,0.8,4.0,4.1,0.8,-6.4,-18.3
PH,25-06 Rem,110 gr. ELD-X,110.0,7.1,8143,0.465,957.0,922.0,888.0,854.0,821.0,789.0,758.0,3265.0,3031.0,2811.0,2602.0,2405.0,2220.0,2046.0,-5.0,-1.1,0.0,-2.1,-7.5,-16.5,-29.5,205.0,-5.0,0.9,4.0,3.9,0.5,-6.5,-17.5
